source_file,folder,snapshot,step,atomization_energy
6_0109_n1.xyz,01_6_0109_n1,129,1290,-375.2328389999966
6_0109_n1.xyz,01_6_0109_n1,130,1300,-375.6703389999966
6_0109_n1.xyz,01_6_0109_n1,131,1310,-375.6469014999966
6_0109_n1.xyz,01_6_0109_n1,132,1320,-375.1351827499966
6_0109_n1.xyz,01_6_0109_n1,133,1330,-374.6273702499966
6_0109_n1.xyz,01_6_0109_n1,134,1340,-375.0258077499966
6_0109_n1.xyz,01_6_0109_n1,135,1350,-374.7797139999966
6_0109_n1.xyz,01_6_0109_n1,136,1360,-374.7601827499966
6_0109_n1.xyz,01_6_0109_n1,137,1370,-375.1664327499966
6_0109_n1.xyz,01_6_0109_n1,138,1380,-374.8226827499966
6_0109_n1.xyz,01_6_0109_n1,139,1390,-374.8226827499966
6_0109_n1.xyz,01_6_0109_n1,140,1400,-375.6039327499966
6_0109_n1.xyz,01_6_0109_n1,141,1410,-375.5609639999966
6_0109_n1.xyz,01_6_0109_n1,142,1420,-374.7250264999966
6_0109_n1.xyz,01_6_0109_n1,143,1430,-375.4320577499966
6_0109_n1.xyz,01_6_0109_n1,144,1440,-375.3617452499966
6_0109_n1.xyz,01_6_0109_n1,145,1450,-375.0219014999966
6_0109_n1.xyz,01_6_0109_n1,146,1460,-375.3031514999966
6_0109_n1.xyz,01_6_0109_n1,147,1470,-374.8773702499966
6_0109_n1.xyz,01_6_0109_n1,148,1480,-375.2445577499966
6_0109_n1.xyz,01_6_0109_n1,149,1490,-374.2523702499966
6_0109_n1.xyz,01_6_0109_n1,150,1500,-374.9320577499966
6_0109_n1.xyz,01_6_0109_n1,151,1510,-374.6273702499966
6_0109_n1.xyz,01_6_0109_n1,152,1520,-375.0219014999966
6_0109_n1.xyz,01_6_0109_n1,153,1530,-374.9554952499966
6_0109_n1.xyz,01_6_0109_n1,154,1540,-375.2445577499966
6_0109_n1.xyz,01_6_0109_n1,155,1550,-375.0765889999966
6_0109_n1.xyz,01_6_0109_n1,156,1560,-374.9281514999966
6_0109_n1.xyz,01_6_0109_n1,157,1570,-376.0101827499966
6_0109_n1.xyz,01_6_0109_n1,158,1580,-375.1586202499966
6_0109_n1.xyz,01_6_0109_n1,159,1590,-374.7640889999966
6_0109_n1.xyz,01_6_0109_n1,160,1600,-375.0453389999966
6_0109_n1.xyz,01_6_0109_n1,161,1610,-375.0414327499966
6_0109_n1.xyz,01_6_0109_n1,162,1620,-375.1117452499966
6_0109_n1.xyz,01_6_0109_n1,163,1630,-374.8695577499966
6_0109_n1.xyz,01_6_0109_n1,164,1640,-374.9750264999966
6_0109_n1.xyz,01_6_0109_n1,165,1650,-375.2172139999966
6_0109_n1.xyz,01_6_0109_n1,166,1660,-375.5961202499966
6_0109_n1.xyz,01_6_0109_n1,167,1670,-375.7289327499966
6_0109_n1.xyz,01_6_0109_n1,168,1680,-375.1429952499966
6_0109_n1.xyz,01_6_0109_n1,169,1690,-374.8578389999966
6_0109_n1.xyz,01_6_0109_n1,170,1700,-375.4594014999966
6_0109_n1.xyz,01_6_0109_n1,171,1710,-375.4594014999966
6_0109_n1.xyz,01_6_0109_n1,172,1720,-375.1976827499966
6_0109_n1.xyz,01_6_0109_n1,173,1730,-375.2953389999966
6_0109_n1.xyz,01_6_0109_n1,174,1740,-375.2328389999966
6_0109_n1.xyz,01_6_0109_n1,175,1750,-374.7992452499966
6_0109_n1.xyz,01_6_0109_n1,176,1760,-375.4359639999966
6_0109_n1.xyz,01_6_0109_n1,177,1770,-375.3773702499966
6_0109_n1.xyz,01_6_0109_n1,178,1780,-375.3344014999966
6_0109_n1.xyz,01_6_0109_n1,179,1790,-375.7367452499966
6_0109_n1.xyz,01_6_0109_n1,180,1800,-375.1898702499966
6_0109_n1.xyz,01_6_0109_n1,181,1810,-375.5219014999966
6_0109_n1.xyz,01_6_0109_n1,182,1820,-375.2679952499966
6_0109_n1.xyz,01_6_0109_n1,183,1830,-375.8109639999966
6_0109_n1.xyz,01_6_0109_n1,184,1840,-375.4359639999966
6_0109_n1.xyz,01_6_0109_n1,185,1850,-375.2445577499966
6_0109_n1.xyz,01_6_0109_n1,186,1860,-375.1859639999966
6_0109_n1.xyz,01_6_0109_n1,187,1870,-375.6703389999966
6_0109_n1.xyz,01_6_0109_n1,188,1880,-374.7640889999966
6_0109_n1.xyz,01_6_0109_n1,189,1890,-375.2367452499966
6_0109_n1.xyz,01_6_0109_n1,190,1900,-374.1664327499966
6_0109_n1.xyz,01_6_0109_n1,191,1910,-374.8929952499966
6_0109_n1.xyz,01_6_0109_n1,192,1920,-374.9867452499966
6_0109_n1.xyz,01_6_0109_n1,193,1930,-374.9047139999966
6_0109_n1.xyz,01_6_0109_n1,194,1940,-375.7015889999966
6_0109_n1.xyz,01_6_0109_n1,195,1950,-375.1508077499966
6_0109_n1.xyz,01_6_0109_n1,196,1960,-375.3617452499966
6_0109_n1.xyz,01_6_0109_n1,197,1970,-375.0687764999966
6_0109_n1.xyz,01_6_0109_n1,198,1980,-375.1390889999966
6_0109_n1.xyz,01_6_0109_n1,199,1990,-375.1508077499966
6_0109_n1.xyz,01_6_0109_n1,200,2000,-375.3031514999966
6_0901_0.xyz,02_6_0901_0,1,10,-485.207476999989
6_0901_0.xyz,02_6_0901_0,2,20,-484.605914499989
6_0901_0.xyz,02_6_0901_0,3,30,-484.371539499989
6_0901_0.xyz,02_6_0901_0,4,40,-484.629351999989
6_0901_0.xyz,02_6_0901_0,5,50,-484.230914499989
6_0901_0.xyz,02_6_0901_0,6,60,-483.957476999989
6_0901_0.xyz,02_6_0901_0,7,70,-483.793414499989
6_0901_0.xyz,02_6_0901_0,8,80,-483.832476999989
6_0901_0.xyz,02_6_0901_0,9,90,-483.699664499989
6_0901_0.xyz,02_6_0901_0,10,100,-483.660601999989
6_0901_0.xyz,02_6_0901_0,11,110,-483.777789499989
